ratio,distanceBoundary,distance2MidRatio,
1.4286,0.1333,0.099,1
1.853,0.1173,0.0891,1
1.0786,0.0198,0.3648,1
1.0738,0.0254,0.3597,1
1.0643,0.0293,0.3597,1
1.2572,0.0292,0.5304,1
2.9948,0.1723,0.2219,1
1.1909,0.1104,0.4024,1
1.4452,0.137,0.4051,1
1.3576,0.1396,0.4043,1
1.2441,0.1358,0.4114,1
1.2913,0.1321,0.4226,1
1.6784,0.1397,0.4197,1
1.8111,0.1397,0.4175,1
8.2536,0.1757,0.1431,1
3.5452,0.2104,0.1744,1
5.0372,0.25,0.1544,1
2.0611,0.1903,0.173,1
1.1043,0.0175,0.4674,1
1.1163,0.0157,0.4704,1
1.1333,0.0572,0.2893,1
1.5185,0.0449,0.2951,1
1.2943,0.0206,0.3219,1
1.395,0.0186,0.3241,1
1.1538,0.0432,0.2556,1
1.4033,0.0429,0.2507,1
1.3024,0.0538,0.2437,1
1.5363,0.0889,0.2379,1
1.1971,0.0267,0.317,1
1.272,0.0213,0.3104,1
1.1384,0.028,0.3051,1
1.1595,0.0163,0.1233,1
1.4534,0.0221,0.122,1
1.2298,0.0273,0.3893,1
1.2494,0.0381,0.3932,1
1.4534,0.0232,0.3904,1
1.4907,0.018,0.3873,1
1.6876,0.0891,0.2737,1
1.1785,0.0442,0.3339,1
1.3097,0.0576,0.343,1
1.4591,0.0624,0.3534,1
1.5268,0.0496,0.3555,1
1.1157,0.0416,0.3887,1
1.2361,0.043,0.3889,1
1.4493,0.0733,0.3936,1
1.6175,0.0861,0.3939,1
1.6879,0.0987,0.3942,1
1.6459,0.1103,0.3948,1
1.7357,0.1209,0.4053,1
2.0146,0.1274,0.4092,1
1.2112,0.027,0.1486,1
1.2332,0.0333,0.1475,1
1.1563,0.0344,0.1467,1
1.6817,0.0718,0.3077,1
1.7925,0.0782,0.3139,1
1.0541,0.05,0.4399,1
1.2122,0.056,0.4431,1
1.2184,0.0569,0.4453,1
1.3382,0.0577,0.4499,1
1.3512,0.1361,0.2246,1
1.1704,0.069,0.3844,1
1.3481,0.0799,0.389,1
1.3481,0.0783,0.3913,1
1.6263,0.0769,0.3975,1
1.6248,0.0735,0.4008,1
1.864,0.0739,0.4035,1
1.6645,0.0332,0.2627,1
1.5364,0.0271,0.2627,1
1.1094,0.0268,0.3724,1
1.1853,0.0332,0.3712,1
1.2478,0.0411,0.3728,1
1.1581,0.0326,0.3689,1
1.9783,0.0942,0.5181,1
2.1,0.15,0.41,1
2.2,0.16,0.39,1
2.6,0.12,0.38,1
2.3,0.08,0.42,1
2,0.09,0.44,1
2,0.12,0.38,1
1.3,0.06,0.37,1
1.25,0.06,0.4,1
1.22,0.05,0.36,1
3.9671,0.1584,0.107,1
3.054,0.1403,0.1035,1
3.6667,0.0695,0.13,1
2.0645,0.0937,0.1092,1
2.414,0.0952,0.1362,1
4.0311,0.1581,0.1389,1
2.8196,0.0991,0.1678,1
4.2537,0.1886,0.1374,1
10.1106,0.178,0.147,1
3.6552,0.1452,0.1651,1
4.4627,0.14,0.1725,1
2.9448,0.1549,0.2145,1
3.9657,0.1765,0.1992,1
1,0.02,0.5335,1
1,0.0183,0.5337,1
1.0733,0.0199,0.5365,1
0.9762,0.0149,0.5394,1
0.9959,0.0185,0.5264,1
0.9971,0.0149,0.4097,1
1.1047,0.1973,0.1766,0
1.4112,0.1977,0.1467,0
1.0097,0.2045,0.0785,0
1.2108,0.2397,0.0594,0
1.1754,0.2836,0.0586,0
1.0122,0.256,0.0754,0
1.0282,0.1538,0.1443,0
1.7631,0.3416,0.0818,0
1.0702,0.1674,0.1575,0
1.429,0.2541,0.1322,0
1.0814,0.2013,0.1104,0
1.8638,0.3789,0.0402,0
1.9562,0.2939,0.1322,0
2.3282,0.2368,0.169,0
3.9319,0.2345,0.2587,0
1.3472,0.1813,0.3563,0
3.1263,0.2641,0.2459,0
1.145,0.1917,0.1313,0
1.2177,0.2404,0.1436,0
1.2081,0.1817,0.172,0
1.3561,0.2413,0.1139,0
1.226,0.2271,0.1171,0
1.736,0.3017,0.0981,0
1.1596,0.1786,0.1371,0
1.0096,0.166,0.1344,0
1.0405,0.2466,0.0409,0
1.0337,0.141,0.0888,0
1.0297,0.131,0.0981,0
1.0673,0.2048,0.0332,0
1.0551,0.1802,0.2423,0
1.0009,0.1191,0.2196,0
1.1158,0.1886,0.2509,0
1.0532,0.1604,0.0977,0
0.9234,0.1177,0.0921,0
0.9751,0.1884,0.0603,0
1.0252,0.2929,0.1064,0
1.0248,0.2111,0.1901,0
1.1682,0.2131,0.1424,0
1.1254,0.2827,0.3698,0
1.6553,0.2819,0.3583,0
1.5382,0.2406,0.3705,0
2.9106,0.459,0.2434,0
2.2669,0.2981,0.1218,0
1.8316,0.3133,0.1062,0
1.0309,0.1633,0.1609,0
1.085,0.1664,0.2737,0
1.0742,0.2364,0.2183,0
1.2642,0.1435,0.1486,0
1.0175,0.1137,0.16,0
0.9639,0.1482,0.1206,0
1.0178,0.1342,0.1061,0
0.9934,0.1133,0.1663,0